actors,awards,country,director,genre,imdbID,imdbRating,imdbVotes,language,metascore,plot,poster,rated,released,runtime,title,type,writer,year
"Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin",Nominated for 3 Oscars. Another 13 wins & 40 nominations.,USA,Steven Spielberg,"Adventure, Sci-Fi, Thriller",tt0407304,6.5,"339,185",English,73,"Ray Ferrier (Cruise) is a divorced dockworker and less-than-perfect father. When his ex-wife and her new husband drop off his teenage son Robbie and young daughter Rachel for a rare weekend visit, a strange and powerful lightning storm suddenly touches down. What follows is the extraordinary battle for the future of humankind through the eyes of one American family fighting to survive it in this contemporary retelling of H.G. Wells seminal classic sci-fi thriller.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDUyODAzNDI1Nl5BMl5BanBnXkFtZTcwMDA2NDAzMw@@._V1_SX300.jpg,PG-13,29 Jun 2005,116 min,War of the Worlds,movie,"Josh Friedman (screenplay), David Koepp (screenplay), H.G. Wells (novel)",2005
"Martin Lawrence, Will Smith, Jordi Mollà, Gabrielle Union",5 wins & 12 nominations.,USA,Michael Bay,"Action, Comedy, Crime",tt0172156,6.6,"181,118","English, Spanish",38,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida.,https://images-na.ssl-images-amazon.com/images/M/MV5BZmU4NzVkZjEtZmQxMi00ZDY5LWI3ZDYtMWRmZjE5YmYwZjQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,18 Jul 2003,147 min,Bad Boys II,movie,"George Gallo (characters), Marianne Wibberley (story), Cormac Wibberley (story), Ron Shelton (story), Ron Shelton (screenplay), Jerry Stahl (screenplay)",2003
"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton",Nominated for 1 Oscar. Another 7 wins & 42 nominations.,USA,Chris Miller,"Animation, Action, Adventure",tt0448694,6.7,"115,815","English, Spanish",65,"Years before meeting Shrek and Donkey, the adorable but tricky Puss in Boots must clear his name from all charges making him a wanted fugitive. While trying to steal magic beans from the infamous criminals Jack and Jill, the hero crosses paths with his female match, Kitty Softpaws, who leads Puss to his old friend, but now enemy, Humpty Dumpty. Memories of friendship and betrayal enlarges Puss' doubt, but he eventually agrees to help the egg get the magic beans. Together, the three plan to steal the beans, get to the Giant's castle, nab the golden goose, and clear Puss' name.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxMTU5MTY4MV5BMl5BanBnXkFtZTcwNzgyNjg2NQ@@._V1_SX300.jpg,PG,28 Oct 2011,90 min,Puss in Boots,movie,"Charles Perrault (character), Tom Wheeler (screenplay), Brian Lynch (story), William Davies (story), Tom Wheeler (story)",2011
"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",Nominated for 1 Oscar. Another 4 wins & 16 nominations.,USA,Phillip Noyce,"Action, Crime, Mystery",tt0944835,6.4,"249,073","English, Russian, Korean",65,"Evelyn Salt is a CIA agent and highly respected by all, including her boss, Ted Winter. Out of the blue, a Russian spy walks into their offices and offers a vital piece of information: the President of Russia will be assassinated during his forthcoming visit to New York City to attend the funeral of the recently deceased U.S. Vice President. The name of the assassin: Evelyn Salt. Concerned about the safety of her husband, who she cannot contact, she goes on the run. Winter refuses to accept that she is a mole or a double agent but her actions begin to raise doubts. Just who is Evelyn Salt and what is she planning?",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyODA2NDg4NV5BMl5BanBnXkFtZTcwMjg4NDAwMw@@._V1_SX300.jpg,PG-13,23 Jul 2010,100 min,Salt,movie,Kurt Wimmer,2010
"Russell Crowe, Jennifer Connelly, Ray Winstone, Anthony Hopkins",Nominated for 1 Golden Globe. Another 1 win & 16 nominations.,USA,Darren Aronofsky,"Action, Adventure, Drama",tt1959490,5.8,"203,418",English,68,A man is chosen by his world's creator to undertake a momentous mission before an apocalyptic flood cleanses the world.,https://images-na.ssl-images-amazon.com/images/M/MV5BNThkMjExYTEtMGYyNi00MWIzLThkNGQtMTM3YzBkZjFhZGI3XkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_SX300.jpg,PG-13,28 Mar 2014,138 min,Noah,movie,"Darren Aronofsky, Ari Handel",2014
"Jamie Bell, Andy Serkis, Daniel Craig, Nick Frost",Nominated for 1 Oscar. Another 22 wins & 59 nominations.,"USA, New Zealand",Steven Spielberg,"Animation, Action, Adventure",tt0983193,7.4,"179,801",English,68,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDE5MDExNTQ1OF5BMl5BanBnXkFtZTcwMDIxMTM5Ng@@._V1_SX300.jpg,PG,21 Dec 2011,107 min,The Adventures of Tintin,movie,"Hergé (comic book series &quot;The Adventures of Tintin&quot;), Steven Moffat (screenplay), Edgar Wright (screenplay), Joe Cornish (screenplay)",2011
"Daniel Radcliffe, Richard Griffiths, Pam Ferris, Fiona Shaw",Nominated for 2 Oscars. Another 14 wins & 42 nominations.,"UK, USA",Alfonso Cuarón,"Adventure, Family, Fantasy",tt0304141,7.8,"390,407",English,82,"Harry Potter is having a tough time with his relatives (yet again). He runs away after using magic to inflate Uncle Vernon's sister Marge who was being offensive towards Harry's parents. Initially scared for using magic outside the school, he is pleasantly surprised that he won't be penalized after all. However, he soon learns that a dangerous criminal and Voldemort's trusted aide Sirius Black has escaped from the Azkaban prison and wants to kill Harry to avenge the Dark Lord. To worsen the conditions for Harry, vile creatures called Dementors are appointed to guard the school gates and inexplicably happen to have the most horrible effect on him. Little does Harry know that by the end of this year, many holes in his past (whatever he knows of it) will be filled up and he will have a clearer vision of what the future has in store...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_SX300.jpg,PG,04 Jun 2004,142 min,Harry Potter and the Prisoner of Azkaban,movie,"J.K. Rowling (novel), Steve Kloves (screenplay)",2004
"Shea Adams, Eddie Baroo, Ray Barrett, Tony Barry",Nominated for 1 Oscar. Another 11 wins & 33 nominations.,"Australia, USA, UK",Baz Luhrmann,"Adventure, Drama, Romance",tt0455824,6.6,"103,371","English, Aboriginal, Chinese, Japanese",53,"Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin, Australia, by Japanese forces firsthand.",https://images-na.ssl-images-amazon.com/images/M/MV5BZjJhMTAyZWMtMjRlZC00NWU3LTg3ODQtYTkyZjRiN2NhY2Y5XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,PG-13,26 Nov 2008,165 min,Australia,movie,"Stuart Beattie (screenplay), Baz Luhrmann (screenplay), Ronald Harwood (screenplay), Richard Flanagan (screenplay), Baz Luhrmann (story)",2008
"Jaden Smith, Will Smith, Sophie Okonedo, Zoë Kravitz",3 wins & 7 nominations.,USA,M. Night Shyamalan,"Action, Adventure, Sci-Fi",tt1815862,4.9,"160,799",English,33,"A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MzQyMjkwMl5BMl5BanBnXkFtZTcwMDk2OTE0OQ@@._V1_SX300.jpg,PG-13,31 May 2013,100 min,After Earth,movie,"Gary Whitta (screenplay), M. Night Shyamalan (screenplay), Will Smith (story)",2013
"D.B. Sweeney, Alfre Woodard, Ossie Davis, Max Casella",4 wins & 20 nominations.,USA,"Eric Leighton, Ralph Zondag","Animation, Adventure, Family",tt0130623,6.5,"39,115",English,56,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,https://images-na.ssl-images-amazon.com/images/M/MV5BZWQ1NTZjMjUtODNmZS00NTVhLWFhM2ItNWZiOTdjMzdhZTY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG,19 May 2000,82 min,Dinosaur,movie,"Thom Enriquez (story), John Harrison (story), Robert Nelson Jacobs (story), Ralph Zondag (story), John Harrison (screenplay), Robert Nelson Jacobs (screenplay), Walon Green (based on an earlier screenplay by), Gregory Gunter (creative development), Shirley Pierce (screenplay), Jonathan Roberts (additional story material), Rhett Reese (additional story material), Tamara Lusher (additional story)",2000
"Adam Sopp, Rupert Grint, Alice Keenan, David Schofield",N/A,"UK, USA",Matt Birch,"Action, Fantasy",tt1680310,7.5,385,English,N/A,"Harry, Ron and Hermione must destroy the last of the horcruxes to kill Voldemort once and for all.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4NTcwNTk4OV5BMl5BanBnXkFtZTgwMDg3NzAwMTE@._V1_SX300.jpg,N/A,12 Jul 2011,N/A,Harry Potter and the Deathly Hallows: Part II,game,J.K. Rowling (characters and universe),2011
Shawn Levy,N/A,USA,N/A,"Documentary, Short",tt5954018,N/A,N/A,English,N/A,This piece focuses on the film's quasi-hydra set piece.,N/A,N/A,10 Mar 2015,6 min,Night at the Museum: Secret of the Tomb - Fight at the Museum,movie,N/A,2015
"Will Ferrell, Brad Pitt, Tina Fey, Jonah Hill",2 wins & 16 nominations.,USA,Tom McGrath,"Animation, Action, Comedy",tt1001526,7.3,"176,604",English,63,"After super-villain Megamind (Ferrell) kills his good-guy nemesis, Metro Man (Pitt), he becomes bored since there is no one left to fight. He creates a new foe, Titan (Hill), who, instead of using his powers for good, sets out to destroy the world, positioning Megamind to save the day for the first time in his life.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzMzI0NTMzNDBeQTJeQWpwZ15BbWU3MDM3NTAyOTM@._V1_SX300.jpg,PG,05 Nov 2010,95 min,Megamind,movie,"Alan Schoolcraft, Brent Simons",2010
"Richard Harris, Maggie Smith, Robbie Coltrane, Saunders Triplets",Nominated for 3 Oscars. Another 17 wins & 60 nominations.,"UK, USA",Chris Columbus,"Adventure, Family, Fantasy",tt0241527,7.5,"456,147",English,64,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School of Witchcraft and Wizardry.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjQ3NWNlNmQtMTE5ZS00MDdmLTlkZjUtZTBlM2UxMGFiMTU3XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,PG,16 Nov 2001,152 min,Harry Potter and the Sorcerer's Stone,movie,"J.K. Rowling (novel), Steve Kloves (screenplay)",2001
"Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker",N/A,USA,Robert Schwentke,"Action, Comedy, Fantasy",tt0790736,5.6,"93,654",English,25,"After Nick is murdered by his own partner, he joins the Rest in Peace Department to protect the world from the undeads. While working with his new partner, many undeads are seen gathering in Boston. Soon he realizes that someone close to him is behind all a plot to bring on the apocalypse.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5OTYxNzE5N15BMl5BanBnXkFtZTcwMDU1MTQ4OQ@@._V1_SX300.jpg,PG-13,19 Jul 2013,96 min,R.I.P.D.,movie,"Phil Hay (screenplay), Matt Manfredi (screenplay), David Dobkin (story), Phil Hay (story), Matt Manfredi (story), Peter M. Lenkov (Dark Horse comic)",2013
"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",Nominated for 5 Oscars. Another 31 wins & 88 nominations.,USA,Gore Verbinski,"Action, Adventure, Fantasy",tt0325980,8.1,"824,667",English,63,"This swash-buckling tale follows the quest of Captain Jack Sparrow, a savvy pirate, and Will Turner, a resourceful blacksmith, as they search for Elizabeth Swann. Elizabeth, the daughter of the governor and the love of Will's life, has been kidnapped by the feared Captain Barbossa. Little do they know, but the fierce and clever Barbossa has been cursed. He, along with his large crew, are under an ancient curse, doomed for eternity to neither live, nor die. That is, unless a blood sacrifice is made.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyNDM4MTc2N15BMl5BanBnXkFtZTYwNDk0Mjc3._V1_SX300.jpg,PG-13,09 Jul 2003,143 min,Pirates of the Caribbean: The Curse of the Black Pearl,movie,"Ted Elliott (screen story), Terry Rossio (screen story), Stuart Beattie (screen story), Jay Wolpert (screen story), Ted Elliott (screenplay), Terry Rossio (screenplay)",2003
"Adam Sopp, Rupert Grint, Alice Keenan, Rupert Degas",N/A,UK,"Matt Birch, Adele Cutting, Andrew S. Walsh",Fantasy,tt1571403,6.4,231,English,N/A,"Harry,Ron,and Hermione search for horcruxes, and fight for what is theres",N/A,N/A,16 Nov 2010,N/A,Harry Potter and the Deathly Hallows: Part I,game,"J.K. Rowling (characters and universe), Andrew S. Walsh (screenplay)",2010
"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",Nominated for 1 Golden Globe. Another 16 wins & 26 nominations.,USA,Francis Lawrence,"Adventure, Sci-Fi, Thriller",tt1951265,6.7,"312,549",English,64,"With the Games destroyed, Katniss Everdeen, along with Gale, Finnick and Beetee, end up in the so thought &quot;destroyed&quot; District 13. Under the leadership of President Coin and the advice of her friends, Katniss becomes the &quot;Mockingjay&quot;, the symbol of rebellion for the districts of Panem.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNDI2NDAzNl5BMl5BanBnXkFtZTgwODM3MTc2MjE@._V1_SX300.jpg,PG-13,21 Nov 2014,123 min,The Hunger Games: Mockingjay - Part 1,movie,"Peter Craig (screenplay), Danny Strong (screenplay), Suzanne Collins (adaptation), Suzanne Collins (novel)",2014
"Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno",Nominated for 1 Golden Globe. Another 6 wins & 21 nominations.,"USA, Malta, France, UK",Ron Howard,"Mystery, Thriller",tt0382625,6.6,"324,294","English, French, Latin, Spanish",46,"Professor Robert Langdon is in Paris on business when he's summoned to The Louvre. A dead body has been found, setting Langdon off on an adventure as he attempts to unravel an ancient code and uncover the greatest mystery of all time.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxMjQyMTc3Nl5BMl5BanBnXkFtZTcwMTA1MDUzMw@@._V1_SX300.jpg,PG-13,19 May 2006,149 min,The Da Vinci Code,movie,"Akiva Goldsman (screenplay), Dan Brown (novel)",2006
"Jake T. Austin, Carlinhos Brown, Kristin Chenoweth, Jemaine Clement",1 win & 19 nominations.,USA,Carlos Saldanha,"Animation, Adventure, Comedy",tt2357291,6.4,"59,953","English, Portuguese",49,"It's a jungle out there for Blu, Jewel and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel, and meets his father-in-law.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzMDczMDYzNl5BMl5BanBnXkFtZTgwMzk2MDIwMTE@._V1_SX300.jpg,G,11 Apr 2014,101 min,Rio 2,movie,"Don Rhymer (screenplay), Carlos Kotkin (screenplay), Jenny Bicks (screenplay), Yoni Brenner (screenplay), Carlos Saldanha (story)",2014
"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry",5 wins & 35 nominations.,"Canada, USA",Bryan Singer,"Action, Adventure, Fantasy",tt0290334,7.5,"412,890","English, German, Italian, Spanish",68,"Several months have passed since The X-Men defeated Magneto and imprisoned him in a seemingly impregnable plastic chamber. One day, a mutant by the name of Nightcrawler infiltrates the White House and attempts to assassinate the president, setting off a chain reaction of anti-mutant measures by the government. Meanwhile, Logan is trying to discover his past. As scientist named William Stryker discovers Professor X's secret school and Cerebro, Magneto's partner, Mystique, is planning to break her leader out of prison. But when Professor X's school is attacked by Stryker's forces, Logan, Rogue, Iceman and a few are lucky to escape. Those who remain meet in Boston, where they form an uneasy alliance with Magneto to stop Stryker and rescue Professor X.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDk0NjYxMzIzOF5BMl5BanBnXkFtZTYwMTc1MjU3._V1_SX300.jpg,PG-13,02 May 2003,134 min,X-Men 2,movie,"Zak Penn (story), David Hayter (story), Bryan Singer (story), Michael Dougherty (screenplay), Dan Harris (screenplay), David Hayter (screenplay)",2003
"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson",8 wins & 19 nominations.,USA,Justin Lin,"Action, Crime, Thriller",tt1596343,7.3,"289,017","English, Portuguese, Spanish, Italian",67,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNTk5MTE0OF5BMl5BanBnXkFtZTcwMjA2NzY3NA@@._V1_SX300.jpg,PG-13,29 Apr 2011,131 min,Fast Five,movie,"Chris Morgan, Gary Scott Thompson (characters)",2011
"Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams",2 wins & 11 nominations.,USA,Guy Ritchie,"Action, Adventure, Crime",tt1515091,7.5,"344,693","English, French, Italian, German, Romany",48,"Sherlock Holmes (Robert Downey Jr.) and his longtime trusted associate, Doctor Watson (Jude Law), take on their arch-nemesis, Professor Moriarty (Jared Harris), with the help of Holmes' older brother Mycroft Holmes (Stephen Fry) and a gypsy named Simza (Noomi Rapace).",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwMzQ5Njk1MF5BMl5BanBnXkFtZTcwNjIxNzIxNw@@._V1_SX300.jpg,PG-13,16 Dec 2011,129 min,Sherlock Holmes: A Game of Shadows,movie,"Michele Mulroney, Kieran Mulroney, Arthur Conan Doyle (characters: Sherlock Holmes,  Dr. Watson)",2011
"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng",4 wins & 12 nominations.,USA,Louis Leterrier,"Action, Adventure, Fantasy",tt0800320,5.8,"232,323",English,39,"Princess Andromeda is the daughter of King Cepheus, who has gained a victory against the gods. The vengeful god of the underworld, Hades, demands that Andromeda is offered as a sacrifice or he will unleash the Kraken against Argos. A desperate King Cepheus asks demi-god Perseus to find a way to defeat the Kraken. Perseus accepts the challenge because Hades was responsible for his family's death. He discovers that the way to kill the Kraken lies with getting the head of the gorgon Medusa.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxNjg4MzU5OV5BMl5BanBnXkFtZTcwOTA3NTUwMw@@._V1_SX300.jpg,PG-13,02 Apr 2010,106 min,Clash of the Titans,movie,"Travis Beacham (screenplay), Phil Hay (screenplay), Matt Manfredi (screenplay), Beverley Cross",2010
"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox",Nominated for 2 Oscars. Another 7 wins & 13 nominations.,USA,Paul Verhoeven,"Action, Sci-Fi, Thriller",tt0100802,7.5,"244,150",English,57,"When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real - or does he?",https://images-na.ssl-images-amazon.com/images/M/MV5BYzU1YmJjMGEtMjY4Yy00MTFlLWE3NTUtNzI3YjkwZTMxZjZmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,R,01 Jun 1990,113 min,Total Recall,movie,"Philip K. Dick (short story &quot;We Can Remember It For You Wholesale&quot;), Ronald Shusett (screen story), Dan O'Bannon (screen story), Jon Povill (screen story), Ronald Shusett (screenplay), Dan O'Bannon (screenplay), Gary Goldman (screenplay)",1990
"Antonio Banderas, Diane Venora, Dennis Storhøi, Vladimir Kulich",2 wins & 2 nominations.,USA,"John McTiernan, Michael Crichton","Action, Adventure, History",tt0120657,6.6,"102,247","English, Latin, Swedish, Norse,  Old, Danish",42,"A man, having fallen in love with the wrong woman, is sent by the sultan himself on a diplomatic mission to a distant land as an ambassador. Stopping at a Viking village port to restock on supplies, he finds himself unwittingly embroiled on a quest to banish a mysterious threat in a distant Viking land.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNTUxODYyN15BMl5BanBnXkFtZTYwMjgwMjY5._V1_SX300.jpg,R,27 Aug 1999,102 min,The 13th Warrior,movie,"Michael Crichton (novel), William Wisher Jr. (screenplay), Warren Lewis (screenplay)",1999
"Jeremy Renner, Scott Glenn, Stacy Keach, Edward Norton",1 win & 11 nominations.,USA,Tony Gilroy,"Action, Adventure, Mystery",tt1194173,6.7,"235,589","English, Russian, Filipino, Ukrainian",61,"The events in this movie take place around the same time as the events in The Bourne Ultimatum (2007). When a British reporter was writing an expose about Black Ops operations Treadstone and Black Briar, and the ones responsible for them are concerned. And when Jason Bourne, former Treadstone operative got the file on Treadstone and Black Briar and gave it to Pamela Landy who then passed it to the media. When the men behind Treadstone and Black Briar learn of this, they're concerned how this will affect other ops they have. They decide it's best to shut down all ops and make sure make everyone involved disappears. They try to take out Aaron Cross who is part of another op called Outcome, but he manages to survive. He then seeks out Dr. Marta Shearing who worked on him when he began. It seems part of the program is for all subjects to take medications but he has run out, which is why he seeks her. But someone tries to kill her. He saves her and she tells him, he should have stopped taking the medications long ago. They go to Manila so that she can help him. Later the men behind Outcome learn that Cross and Shearing are still alive. They try to get them.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4Njk3MDM1Nl5BMl5BanBnXkFtZTcwODgyOTMxOA@@._V1_SX300.jpg,PG-13,10 Aug 2012,135 min,The Bourne Legacy,movie,"Tony Gilroy (screenplay), Dan Gilroy (screenplay), Tony Gilroy (story), Robert Ludlum (inspired by &quot;The Bourne Series&quot; created by)",2012
"Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman",10 wins & 21 nominations.,"USA, UK",Joel Schumacher,Action,tt0118688,3.7,"192,598",English,28,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,https://images-na.ssl-images-amazon.com/images/M/MV5BMGQ5YTM1NmMtYmIxYy00N2VmLWJhZTYtN2EwYTY3MWFhOTczXkEyXkFqcGdeQXVyNTA2NTI0MTY@._V1_SX300.jpg,PG-13,20 Jun 1997,125 min,Batman & Robin,movie,"Bob Kane (Batman characters), Akiva Goldsman",1997
"Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor",Won 1 Oscar. Another 17 wins & 35 nominations.,"USA, Germany",Ron Howard,"Comedy, Family, Fantasy",tt0170016,6.0,"143,249",English,46,"On the outskirts of Whoville, there lives a green, revenge-seeking Grinch who plans on ruining the Christmas holiday for all of the citizens of the town.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDBhNzdlODctM2JhYi00NDg4LWEzY2EtZDk2NzRmMjEwMzJmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG,17 Nov 2000,104 min,How the Grinch Stole Christmas,movie,"Dr. Seuss (book), Jeffrey Price (screenplay), Peter S. Seaman (screenplay)",2000
"Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok",Won 1 BAFTA Film Award. Another 5 wins & 11 nominations.,USA,Roland Emmerich,"Action, Adventure, Sci-Fi",tt0319262,6.4,"339,055","English, Japanese, French, Arabic, Spanish",47,"Jack Hall, paleoclimatologist, must make a daring trek across America to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1NTA3NzMwOV5BMl5BanBnXkFtZTcwNzEzMTEzMw@@._V1_SX300.jpg,PG-13,28 May 2004,124 min,The Day After Tomorrow,movie,"Roland Emmerich (story), Roland Emmerich (screenplay), Jeffrey Nachmanoff (screenplay)",2004
"Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames",10 wins & 18 nominations.,"USA, Germany",John Woo,"Action, Adventure, Thriller",tt0120755,6.1,"246,743",English,59,"Chimera is a deadly virus that will bare a deathly death unless you are given the antidote. The creator of Chimera is murdered and the antidote is stolen by a disavowed IMF agent, Sean Ambrose. The Impossible Mission Force, IMF, hire the skilled and charming Ethan Hunt, and the beautiful Nyah Nirdoff-Hall, who has had her share with Ambrose. Their mission, should they choose to accept it is to send Hirdoff-Hall undercover to Ambrose and learn what she can for Hunt to bring down Chimera, but they will have to brake into a secure lab by jumping off buildings and dodging bullets. Its impossible.",https://images-na.ssl-images-amazon.com/images/M/MV5BODI4Mzk0NDU0NF5BMl5BanBnXkFtZTcwNTczODQwNA@@._V1_SX300.jpg,PG-13,24 May 2000,123 min,Mission: Impossible II,movie,"Bruce Geller (creator television series Mission: Impossible), Ronald D. Moore (story), Brannon Braga (story), Robert Towne (screenplay)",2000
"George Clooney, Mark Wahlberg, John C. Reilly, Diane Lane",Nominated for 2 Oscars. Another 4 wins & 24 nominations.,USA,Wolfgang Petersen,"Action, Adventure, Drama",tt0177971,6.4,"134,226",English,59,"In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail. Magnificent foreshadowing and anticipation fill this true-life drama while minute details of the fishing boats, their gear and the weather are juxtaposed with the sea adventure.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzIwMTc0NTI0Nl5BMl5BanBnXkFtZTcwNTk4Mzc3Mw@@._V1_SX300.jpg,PG-13,30 Jun 2000,130 min,The Perfect Storm,movie,"Sebastian Junger (book), William D. Wittliff (screenplay)",2000
"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis",2 wins & 14 nominations.,"USA, Germany, UK",Tim Story,"Action, Adventure, Family",tt0486576,5.6,"216,073","English, Japanese, Chinese, Arabic",45,"Everything seems to be going great for the Fantastic Four. Reed and Sue are finally getting married, and things couldn't seem better. However, when the mysterious Silver Surfer crashes things, they learn that they will have to deal with an old foe, and the powerful planet eating Galactus.",https://images-na.ssl-images-amazon.com/images/M/MV5BODA4YTc5N2QtNzQyYS00ZDUzLWI3M2UtZWI2OWVhOGZlN2MxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG,15 Jun 2007,92 min,Fantastic 4: Rise of the Silver Surfer,movie,"Don Payne (screenplay), Mark Frost (screenplay), John Turman (story), Mark Frost (story), Stan Lee (characters), Jack Kirby (characters)",2007
"Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur",Won 4 Oscars. Another 76 wins & 125 nominations.,"USA, Taiwan, UK",Ang Lee,"Adventure, Drama, Fantasy",tt0454876,8.0,"449,565","English, Tamil, French, Japanese, Hindi, Chinese",79,"In Canada, a writer visits the Indian storyteller Pi Patel and asks him to tell his life story. Pi tells the story of his childhood in Pondicherry, India, and the origin of his nickname. One day, his father, a zoo owner, explains that the municipality is no longer supporting the zoo and he has hence decided to move to Canada, where the animals the family owns would also be sold. They board on a Japanese cargo ship with the animals and out of the blue, there is a storm, followed by a shipwrecking. Pi survives in a lifeboat with a zebra, an orangutan, a hyena and a male Bengal tiger nicknamed Richard Parker. They are adrift in the Pacific Ocean, with aggressive hyena and Richard Parker getting hungry. Pi needs to find a way to survive.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_SX300.jpg,PG,21 Nov 2012,127 min,Life of Pi,movie,"Yann Martel (novel), David Magee (screenplay)",2012
